Name,Accuracy,F1 Score
Aspiration,0.97 ± 0.18,0.85 ± 0.13
Bleeding,0.99 ± 0.07,0.82 ± 0.17
Clipping Suture,1.00 ± 0.07,0.88 ± 0.12
Debris Wash,1.00 ± 0.01,0.50 ± 0.50
Deflate Rectum,0.99 ± 0.07,0.89 ± 0.10
Dissection,0.93 ± 0.26,0.87 ± 0.08
Fluid Wash,1.00 ± 0.05,0.76 ± 0.24
Haemostasis,1.00 ± 0.06,0.73 ± 0.27
Haemostatis,1.00 ± 0.03,0.85 ± 0.15
Inflate Rectum,1.00 ± 0.07,0.83 ± 0.17
Instrument Positioning,0.91 ± 0.29,0.82 ± 0.12
Marking,1.00 ± 0.07,0.91 ± 0.08
No Action,0.97 ± 0.18,0.87 ± 0.11
Out of Body,0.99 ± 0.09,0.98 ± 0.02
Retraction,0.95 ± 0.22,0.78 ± 0.19
Scope Insertion,1.00 ± 0.07,0.95 ± 0.05
Scope Positioning,0.96 ± 0.19,0.87 ± 0.11
Scope Removal,1.00 ± 0.03,1.00 ± 0.00
Smoke,1.00 ± 0.07,0.87 ± 0.13
Specimen Removal,1.00 ± 0.03,0.97 ± 0.03
Stitching,0.98 ± 0.15,0.93 ± 0.06
Washout,0.99 ± 0.11,0.91 ± 0.08
