Name,Accuracy,F1 Score
Aspiration,0.97 ± 0.18,0.85 ± 0.13
Bleeding,0.99 ± 0.08,0.80 ± 0.19
Clipping Suture,1.00 ± 0.06,0.91 ± 0.09
Debris Wash,1.00 ± 0.01,0.50 ± 0.50
Deflate Rectum,0.99 ± 0.08,0.89 ± 0.11
Dissection,0.93 ± 0.26,0.86 ± 0.10
Fluid Wash,1.00 ± 0.06,0.73 ± 0.27
Haemostasis,1.00 ± 0.07,0.77 ± 0.23
Haemostatis,1.00 ± 0.03,0.85 ± 0.15
Inflate Rectum,1.00 ± 0.06,0.87 ± 0.13
Instrument Positioning,0.89 ± 0.32,0.80 ± 0.14
Marking,0.99 ± 0.07,0.90 ± 0.09
No Action,0.96 ± 0.20,0.85 ± 0.13
Out of Body,0.99 ± 0.09,0.97 ± 0.02
Retraction,0.94 ± 0.24,0.77 ± 0.20
Scope Insertion,1.00 ± 0.06,0.96 ± 0.04
Scope Positioning,0.96 ± 0.19,0.87 ± 0.11
Scope Removal,1.00 ± 0.03,1.00 ± 0.00
Smoke,0.99 ± 0.08,0.82 ± 0.17
Specimen Removal,1.00 ± 0.02,0.99 ± 0.01
Stitching,0.97 ± 0.16,0.92 ± 0.06
Washout,0.99 ± 0.12,0.90 ± 0.09
